#datatype measurement,double,dateTime,tag
measurement,value,timestamp,unique_id
data,112,1949-01-01T00:00:00Z,AirPassengers
data,118,1949-02-01T00:00:00Z,AirPassengers
data,132,1949-03-01T00:00:00Z,AirPassengers
data,129,1949-04-01T00:00:00Z,AirPassengers
data,121,1949-05-01T00:00:00Z,AirPassengers
data,135,1949-06-01T00:00:00Z,AirPassengers
data,148,1949-07-01T00:00:00Z,AirPassengers
data,148,1949-08-01T00:00:00Z,AirPassengers
data,136,1949-09-01T00:00:00Z,AirPassengers
data,119,1949-10-01T00:00:00Z,AirPassengers
data,104,1949-11-01T00:00:00Z,AirPassengers
data,118,1949-12-01T00:00:00Z,AirPassengers
data,115,1950-01-01T00:00:00Z,AirPassengers
data,126,1950-02-01T00:00:00Z,AirPassengers
data,141,1950-03-01T00:00:00Z,AirPassengers
data,135,1950-04-01T00:00:00Z,AirPassengers
data,125,1950-05-01T00:00:00Z,AirPassengers
data,149,1950-06-01T00:00:00Z,AirPassengers
data,170,1950-07-01T00:00:00Z,AirPassengers
data,170,1950-08-01T00:00:00Z,AirPassengers
data,158,1950-09-01T00:00:00Z,AirPassengers
data,133,1950-10-01T00:00:00Z,AirPassengers
data,114,1950-11-01T00:00:00Z,AirPassengers
data,140,1950-12-01T00:00:00Z,AirPassengers
data,145,1951-01-01T00:00:00Z,AirPassengers
data,150,1951-02-01T00:00:00Z,AirPassengers
data,178,1951-03-01T00:00:00Z,AirPassengers
data,163,1951-04-01T00:00:00Z,AirPassengers
data,172,1951-05-01T00:00:00Z,AirPassengers
data,178,1951-06-01T00:00:00Z,AirPassengers
data,199,1951-07-01T00:00:00Z,AirPassengers
data,199,1951-08-01T00:00:00Z,AirPassengers
data,184,1951-09-01T00:00:00Z,AirPassengers
data,162,1951-10-01T00:00:00Z,AirPassengers
data,146,1951-11-01T00:00:00Z,AirPassengers
data,166,1951-12-01T00:00:00Z,AirPassengers
data,171,1952-01-01T00:00:00Z,AirPassengers
data,180,1952-02-01T00:00:00Z,AirPassengers
data,193,1952-03-01T00:00:00Z,AirPassengers
data,181,1952-04-01T00:00:00Z,AirPassengers
data,183,1952-05-01T00:00:00Z,AirPassengers
data,218,1952-06-01T00:00:00Z,AirPassengers
data,230,1952-07-01T00:00:00Z,AirPassengers
data,242,1952-08-01T00:00:00Z,AirPassengers
data,209,1952-09-01T00:00:00Z,AirPassengers
data,191,1952-10-01T00:00:00Z,AirPassengers
data,172,1952-11-01T00:00:00Z,AirPassengers
data,194,1952-12-01T00:00:00Z,AirPassengers
data,196,1953-01-01T00:00:00Z,AirPassengers
data,196,1953-02-01T00:00:00Z,AirPassengers
data,236,1953-03-01T00:00:00Z,AirPassengers
data,235,1953-04-01T00:00:00Z,AirPassengers
data,229,1953-05-01T00:00:00Z,AirPassengers
data,243,1953-06-01T00:00:00Z,AirPassengers
data,264,1953-07-01T00:00:00Z,AirPassengers
data,272,1953-08-01T00:00:00Z,AirPassengers
data,237,1953-09-01T00:00:00Z,AirPassengers
data,211,1953-10-01T00:00:00Z,AirPassengers
data,180,1953-11-01T00:00:00Z,AirPassengers
data,201,1953-12-01T00:00:00Z,AirPassengers
data,204,1954-01-01T00:00:00Z,AirPassengers
data,188,1954-02-01T00:00:00Z,AirPassengers
data,235,1954-03-01T00:00:00Z,AirPassengers
data,227,1954-04-01T00:00:00Z,AirPassengers
data,234,1954-05-01T00:00:00Z,AirPassengers
data,264,1954-06-01T00:00:00Z,AirPassengers
