unique_id,ds,y,Exogenous1,Exogenous2,day_0,day_1,day_2,day_3,day_4,day_5,day_6
BE,2016-12-01 00:00:00,72.0,61507.0,71066.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 01:00:00,65.8,59528.0,67311.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 02:00:00,59.99,58812.0,67470.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 03:00:00,50.69,57676.0,64529.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 04:00:00,52.58,56804.0,62773.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 05:00:00,65.05,58491.0,63780.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 06:00:00,80.4,61622.0,68346.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 07:00:00,200.0,68070.0,76799.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 08:00:00,200.63,70490.0,81312.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 09:00:00,155.47,70187.0,80506.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 10:00:00,150.91,68304.0,80066.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 11:00:00,154.31,66789.0,78745.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 12:00:00,121.26,65456.0,77975.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 13:00:00,114.68,64818.0,77031.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 14:00:00,133.14,63390.0,73875.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 15:00:00,137.63,63135.0,71576.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 16:00:00,125.8,63316.0,70560.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 17:00:00,145.0,65944.0,71948.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 18:00:00,266.9,70997.0,77017.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 19:00:00,124.41,71605.0,80767.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 20:00:00,103.72,67069.0,77583.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 21:00:00,72.9,63844.0,73510.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 22:00:00,73.1,63293.0,70338.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-01 23:00:00,73.0,63971.0,74277.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BE,2016-12-02 00:00:00,47.25,62385.0,72208.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BE,2016-12-02 01:00:00,45.27,60568.0,67965.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BE,2016-12-02 02:00:00,42.68,59717.0,68040.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BE,2016-12-02 03:00:00,39.4,58955.0,64856.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BE,2016-12-02 04:00:00,40.86,57866.0,63078.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BE,2016-12-02 05:00:00,45.65,57784.0,64248.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BE,2016-12-02 06:00:00,54.16,61664.0,68484.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BE,2016-12-02 07:00:00,68.77,64962.0,76650.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
