unique_id,ds,y,sell_price,event_type_Cultural,event_type_National,event_type_Religious,event_type_Sporting
FOODS_1_001,2011-01-29,3,2.0,0,0,0,0
FOODS_1_001,2011-01-30,0,2.0,0,0,0,0
FOODS_1_001,2011-01-31,0,2.0,0,0,0,0
FOODS_1_001,2011-02-01,1,2.0,0,0,0,0
FOODS_1_001,2011-02-02,4,2.0,0,0,0,0
FOODS_1_001,2011-02-03,2,2.0,0,0,0,0
FOODS_1_001,2011-02-04,0,2.0,0,0,0,0
FOODS_1_001,2011-02-05,2,2.0,0,0,0,0
FOODS_1_001,2011-02-06,0,2.0,0,0,0,1
FOODS_1_001,2011-02-07,0,2.0,0,0,0,0
FOODS_1_001,2011-02-08,0,2.0,0,0,0,0
FOODS_1_001,2011-02-09,0,2.0,0,0,0,0
FOODS_1_001,2011-02-10,3,2.0,0,0,0,0
FOODS_1_001,2011-02-11,1,2.0,0,0,0,0
FOODS_1_001,2011-02-12,3,2.0,0,0,0,0
FOODS_1_001,2011-02-13,0,2.0,0,0,0,0
FOODS_1_001,2011-02-14,2,2.0,1,0,0,0
FOODS_1_001,2011-02-15,1,2.0,0,0,0,0
FOODS_1_001,2011-02-16,2,2.0,0,0,0,0
FOODS_1_001,2011-02-17,0,2.0,0,0,0,0
FOODS_1_001,2011-02-18,2,2.0,0,0,0,0
FOODS_1_001,2011-02-19,1,2.0,0,0,0,0
FOODS_1_001,2011-02-20,2,2.0,0,0,0,0
FOODS_1_001,2011-02-21,0,2.0,0,1,0,0
FOODS_1_001,2011-02-22,2,2.0,0,0,0,0
FOODS_1_001,2011-02-23,2,2.0,0,0,0,0
FOODS_1_001,2011-02-24,2,2.0,0,0,0,0
FOODS_1_001,2011-02-25,4,2.0,0,0,0,0
FOODS_1_001,2011-02-26,2,2.0,0,0,0,0
FOODS_1_001,2011-02-27,2,2.0,0,0,0,0
FOODS_1_001,2011-02-28,0,2.0,0,0,0,0
FOODS_1_001,2011-03-01,2,2.0,0,0,0,0
FOODS_1_001,2011-03-02,1,2.0,0,0,0,0
FOODS_1_001,2011-03-03,7,2.0,0,0,0,0
FOODS_1_001,2011-03-04,1,2.0,0,0,0,0
FOODS_1_001,2011-03-05,2,2.0,0,0,0,0
FOODS_1_001,2011-03-06,3,2.0,0,0,0,0
FOODS_1_001,2011-03-07,0,2.0,0,0,0,0
FOODS_1_001,2011-03-08,1,2.0,0,0,0,0
FOODS_1_001,2011-03-09,2,2.0,0,0,1,0
FOODS_1_001,2011-03-10,3,2.0,0,0,0,0
FOODS_1_001,2011-03-11,0,2.0,0,0,0,0
FOODS_1_001,2011-03-12,1,2.0,0,0,0,0
FOODS_1_001,2011-03-13,5,2.0,0,0,0,0
FOODS_1_001,2011-03-14,0,2.0,0,0,0,0
FOODS_1_001,2011-03-15,0,2.0,0,0,0,0
FOODS_1_001,2011-03-16,1,2.0,0,0,1,0
FOODS_1_001,2011-03-17,0,2.0,1,0,0,0
FOODS_1_001,2011-03-18,0,2.0,0,0,0,0
FOODS_1_001,2011-03-19,1,2.0,0,0,0,0
FOODS_1_001,2011-03-20,1,2.0,0,0,1,0
FOODS_1_001,2011-03-21,1,2.0,0,0,0,0
FOODS_1_001,2011-03-22,1,2.0,0,0,0,0
FOODS_1_001,2011-03-23,1,2.0,0,0,0,0
FOODS_1_001,2011-03-24,0,2.0,0,0,0,0
FOODS_1_001,2011-03-25,1,2.0,0,0,0,0
FOODS_1_001,2011-03-26,2,2.0,0,0,0,0
FOODS_1_001,2011-03-27,2,2.0,0,0,0,0
FOODS_1_001,2011-03-28,0,2.0,0,0,0,0
FOODS_1_001,2011-03-29,1,2.0,0,0,0,0
FOODS_1_001,2011-03-30,0,2.0,0,0,0,0
FOODS_1_001,2011-03-31,0,2.0,0,0,0,0
FOODS_1_001,2011-04-01,0,2.0,0,0,0,0
FOODS_1_001,2011-04-02,0,2.0,0,0,0,0
FOODS_1_001,2011-04-03,0,2.0,0,0,0,0
FOODS_1_001,2011-04-04,4,2.0,0,0,0,0
FOODS_1_001,2011-04-05,0,2.0,0,0,0,0
FOODS_1_001,2011-04-06,1,2.0,0,0,0,0
FOODS_1_001,2011-04-07,0,2.0,0,0,0,0
FOODS_1_001,2011-04-08,1,2.0,0,0,0,0
FOODS_1_001,2011-04-09,0,2.0,0,0,0,0
FOODS_1_001,2011-04-10,2,2.0,0,0,0,0
FOODS_1_001,2011-04-11,2,2.0,0,0,0,0
FOODS_1_001,2011-04-12,1,2.0,0,0,0,0
FOODS_1_001,2011-04-13,1,2.0,0,0,0,0
FOODS_1_001,2011-04-14,0,2.0,0,0,0,0
FOODS_1_001,2011-04-15,2,2.0,0,0,0,0
FOODS_1_001,2011-04-16,1,2.0,0,0,0,0
FOODS_1_001,2011-04-17,2,2.0,0,0,0,0
FOODS_1_001,2011-04-18,0,2.0,0,0,0,0
FOODS_1_001,2011-04-19,2,2.0,0,0,0,0
FOODS_1_001,2011-04-20,0,2.0,0,0,0,0
FOODS_1_001,2011-04-21,0,2.0,0,0,0,0
FOODS_1_001,2011-04-22,0,2.0,0,0,0,0
FOODS_1_001,2011-04-23,1,2.0,0,0,0,0
FOODS_1_001,2011-04-24,0,2.0,0,0,1,0
FOODS_1_001,2011-04-25,0,2.0,0,0,0,0
FOODS_1_001,2011-04-26,0,2.0,0,0,1,0
FOODS_1_001,2011-04-27,0,2.0,0,0,0,0
FOODS_1_001,2011-04-28,0,2.0,0,0,0,0
FOODS_1_001,2011-04-29,0,2.0,0,0,0,0
FOODS_1_001,2011-04-30,3,2.0,0,0,0,0
FOODS_1_001,2011-05-01,2,2.0,0,0,0,0
FOODS_1_001,2011-05-02,7,2.0,0,0,0,0
FOODS_1_001,2011-05-03,1,2.0,0,0,0,0
FOODS_1_001,2011-05-04,0,2.0,0,0,0,0
FOODS_1_001,2011-05-05,0,2.0,1,0,0,0
FOODS_1_001,2011-05-06,9,2.0,0,0,0,0
FOODS_1_001,2011-05-07,0,2.0,0,0,0,0
FOODS_1_001,2011-05-08,0,2.0,1,0,0,0
FOODS_1_001,2011-05-09,0,2.0,0,0,0,0
FOODS_1_001,2011-05-10,1,2.0,0,0,0,0
FOODS_1_001,2011-05-11,2,2.0,0,0,0,0
FOODS_1_001,2011-05-12,0,2.0,0,0,0,0
FOODS_1_001,2011-05-13,1,2.0,0,0,0,0
FOODS_1_001,2011-05-14,3,2.0,0,0,0,0
FOODS_1_001,2011-05-15,1,2.0,0,0,0,0
FOODS_1_001,2011-05-16,3,2.0,0,0,0,0
FOODS_1_001,2011-05-17,0,2.0,0,0,0,0
FOODS_1_001,2011-05-18,0,2.0,0,0,0,0
FOODS_1_001,2011-05-19,1,2.0,0,0,0,0
FOODS_1_001,2011-05-20,1,2.0,0,0,0,0
FOODS_1_001,2011-05-21,1,2.0,0,0,0,0
FOODS_1_001,2011-05-22,3,2.0,0,0,0,0
FOODS_1_001,2011-05-23,0,2.0,0,0,0,0
FOODS_1_001,2011-05-24,1,2.0,0,0,0,0
FOODS_1_001,2011-05-25,2,2.0,0,0,0,0
FOODS_1_001,2011-05-26,0,2.0,0,0,0,0
FOODS_1_001,2011-05-27,6,2.0,0,0,0,0
FOODS_1_001,2011-05-28,3,2.0,0,0,0,0
FOODS_1_001,2011-05-29,1,2.0,0,0,0,0
FOODS_1_001,2011-05-30,0,2.0,0,1,0,0
FOODS_1_001,2011-05-31,1,2.0,0,0,0,1
